Municipal_Council_Area,Province,District,DS_Division_Name,GND_Name,GND_Code
Colombo MC,Western,Colombo,Colombo,Sammanthranapura,LK1103005
Colombo MC,Western,Colombo,Colombo,Mattakkuliya,LK1103010
Colombo MC,Western,Colombo,Colombo,Modara,LK1103015
Colombo MC,Western,Colombo,Colombo,Madampitiya,LK1103020
Colombo MC,Western,Colombo,Colombo,Mahawatta,LK1103025
Colombo MC,Western,Colombo,Colombo,Aluthmawatha,LK1103030
Colombo MC,Western,Colombo,Colombo,Lunupokuna,LK1103035
Colombo MC,Western,Colombo,Colombo,Bloemendhal,LK1103040
Colombo MC,Western,Colombo,Colombo,Kotahena East,LK1103045
Colombo MC,Western,Colombo,Colombo,Kotahena West,LK1103050
Colombo MC,Western,Colombo,Colombo,Kochchikade North,LK1103055
Colombo MC,Western,Colombo,Colombo,Jinthupitiya,LK1103060
Colombo MC,Western,Colombo,Colombo,Masangasweediya,LK1103065
Colombo MC,Western,Colombo,Colombo,New Bazaar,LK1103070
Colombo MC,Western,Colombo,Colombo,Grandpass South,LK1103075
Colombo MC,Western,Colombo,Colombo,Grandpass North,LK1103080
Colombo MC,Western,Colombo,Colombo,Nawagampura,LK1103085
Colombo MC,Western,Colombo,Colombo,Maligawatta East,LK1103090
Colombo MC,Western,Colombo,Colombo,Khettarama,LK1103095
Colombo MC,Western,Colombo,Colombo,Aluthkade East,LK1103100
Colombo MC,Western,Colombo,Colombo,Aluthkade West,LK1103105
Colombo MC,Western,Colombo,Colombo,Kochchikade South,LK1103110
Colombo MC,Western,Colombo,Colombo,Pettah,LK1103115
Colombo MC,Western,Colombo,Colombo,Fort,LK1103120
Colombo MC,Western,Colombo,Colombo,Galle Face,LK1103125
Colombo MC,Western,Colombo,Colombo,Slave Island,LK1103130
Colombo MC,Western,Colombo,Colombo,Hunupitiya,LK1103135
Colombo MC,Western,Colombo,Colombo,Suduwella,LK1103140
Colombo MC,Western,Colombo,Colombo,Keselwatta,LK1103145
Colombo MC,Western,Colombo,Colombo,Panchikawatta,LK1103150
Colombo MC,Western,Colombo,Colombo,Maligawatta West,LK1103155
Colombo MC,Western,Colombo,Colombo,Maligakanda,LK1103160
Colombo MC,Western,Colombo,Colombo,Maradana,LK1103165
Colombo MC,Western,Colombo,Colombo,Ibbanwala,LK1103170
Colombo MC,Western,Colombo,Colombo,Wekanda,LK1103175
Colombo MC,Western,Colombo,Thimbirigasyaya,Kollupitiya,LK1127005
Colombo MC,Western,Colombo,Thimbirigasyaya,Bambalapitiya,LK1127010
Colombo MC,Western,Colombo,Thimbirigasyaya,Kurunduwatta,LK1127015
Colombo MC,Western,Colombo,Thimbirigasyaya,Kuppiyawatta West,LK1127020
Colombo MC,Western,Colombo,Thimbirigasyaya,Kuppiyawatta East,LK1127025
Colombo MC,Western,Colombo,Thimbirigasyaya,Dematagoda,LK1127030
Colombo MC,Western,Colombo,Thimbirigasyaya,Wanathamulla,LK1127035
Colombo MC,Western,Colombo,Thimbirigasyaya,Borella North,LK1127040
Colombo MC,Western,Colombo,Thimbirigasyaya,Borella South,LK1127045
Colombo MC,Western,Colombo,Thimbirigasyaya,Gothamipura,LK1127050
Colombo MC,Western,Colombo,Thimbirigasyaya,Narahenpita,LK1127055
Colombo MC,Western,Colombo,Thimbirigasyaya,Thimbirigasyaya,LK1127060
Colombo MC,Western,Colombo,Thimbirigasyaya,Milagiriya,LK1127065
Colombo MC,Western,Colombo,Thimbirigasyaya,Havelock Town,LK1127070
Colombo MC,Western,Colombo,Thimbirigasyaya,Kirula,LK1127075
Colombo MC,Western,Colombo,Thimbirigasyaya,Kirulapone,LK1127080
Colombo MC,Western,Colombo,Thimbirigasyaya,Wellawatta North,LK1127085
Colombo MC,Western,Colombo,Thimbirigasyaya,Wellawatta South,LK1127090
Colombo MC,Western,Colombo,Thimbirigasyaya,Pamankada West,LK1127095
Colombo MC,Western,Colombo,Thimbirigasyaya,Pamankada East,LK1127100
Dehiwala-Mount Lavinia MC,Western,Colombo,Dehiwala,Sri Saranankara,LK1130005
Dehiwala-Mount Lavinia MC,Western,Colombo,Dehiwala,Vilawala,LK1130010
Dehiwala-Mount Lavinia MC,Western,Colombo,Dehiwala,Dutugemunu,LK1130015
Dehiwala-Mount Lavinia MC,Western,Colombo,Dehiwala,Kohuwala,LK1130020
Dehiwala-Mount Lavinia MC,Western,Colombo,Dehiwala,Kalubovila,LK1130025
Dehiwala-Mount Lavinia MC,Western,Colombo,Dehiwala,Hathbodhiya,LK1130030
